id,name,type,ra_hours,dec_deg,mag,size_arcmin
NGC4219,NGC4219,Galaxy,12.27426,-43.3243,11.8,3.8
NGC4219A,NGC4219A,Galaxy,12.29997,-43.5400,14.7,1.3
NGC4220,NGC4220,Galaxy,12.26992,47.8833,11.3,3.3
NGC4221,NGC4221,Galaxy,12.26663,66.2308,13.3,1.9
NGC4222,NGC4222,Galaxy,12.27292,13.3071,13.8,2.8
NGC4223,NGC4223,Galaxy,12.29050,6.6901,11.9,2.0
NGC4224,NGC4224,Galaxy,12.27605,7.4621,11.8,2.9
NGC4225,NGC4225,Galaxy,12.27733,-12.3277,15.0,0.8
NGC4226,NGC4226,Galaxy,12.27397,47.0252,14.3,1.1
NGC4227,NGC4227,Galaxy,12.27603,33.5221,13.7,1.5
NGC4229,NGC4229,Galaxy,12.27744,33.5609,14.2,1.2
NGC4230,NGC4230,Open Cluster,12.28594,-55.2861,9.4,5.4
NGC4231,NGC4231,Galaxy,12.28024,47.4574,14.7,0.8
NGC4232,NGC4232,Galaxy,12.28029,47.4388,14.5,1.2
NGC4233,NGC4233,Galaxy,12.28547,7.6244,11.9,2.3
NGC4234,NGC4234,Galaxy,12.28588,3.6831,12.9,1.1
NGC4235,NGC4235,Galaxy,12.28608,7.1916,12.0,4.4
NGC4236,NGC4236,Galaxy,12.27837,69.4626,9.8,23.5
NGC4237,NGC4237,Galaxy,12.28651,15.3240,11.8,1.8
NGC4238,NGC4238,Galaxy,12.28217,63.4099,14.1,1.7
NGC4239,NGC4239,Galaxy,12.28748,16.5314,12.8,1.4
NGC4240,NGC4240,Galaxy,12.29010,-9.9516,14.3,1.5
NGC4241,NGC4241,Galaxy,12.29997,6.6542,13.1,1.5
NGC4242,NGC4242,Galaxy,12.29172,45.6193,11.0,3.8
NGC4244,NGC4244,Galaxy,12.29157,37.8071,10.2,16.2
NGC4245,NGC4245,Galaxy,12.29355,29.6080,11.4,2.5
NGC4246,NGC4246,Galaxy,12.29948,7.1859,12.7,2.1
NGC4247,NGC4247,Galaxy,12.29947,7.2739,14.8,1.0
NGC4248,NGC4248,Galaxy,12.29718,47.4092,12.6,2.0
NGC4249,NGC4249,Galaxy,12.29983,5.5986,14.5,0.9
NGC4250,NGC4250,Galaxy,12.29063,70.8026,12.9,1.9
NGC4251,NGC4251,Galaxy,12.30229,28.1754,10.8,2.3
NGC4252,NGC4252,Galaxy,12.30858,5.5595,14.7,1.2
NGC4253,NGC4253,Galaxy,12.30736,29.8129,13.2,0.9
NGC4255,NGC4255,Galaxy,12.31560,4.7861,13.4,1.4
NGC4256,NGC4256,Galaxy,12.31197,65.8983,12.7,3.9
NGC4257,NGC4257,Galaxy,12.31846,5.7260,14.6,0.5
NGC4259,NGC4259,Galaxy,12.32284,5.3764,13.6,1.0
NGC4260,NGC4260,Galaxy,12.32284,6.0987,11.6,2.5
NGC4261,NGC4261,Galaxy,12.32312,5.8252,11.1,4.2
NGC4262,NGC4262,Galaxy,12.32516,14.8777,11.5,1.7
NGC4263,NGC4263,Galaxy,12.32839,-12.2256,13.6,1.2
NGC4264,NGC4264,Galaxy,12.32660,5.8468,12.8,0.9
NGC4266,NGC4266,Galaxy,12.32842,5.5383,13.4,2.0
NGC4267,NGC4267,Galaxy,12.32923,12.7983,10.9,2.5
NGC4268,NGC4268,Galaxy,12.32978,5.2838,12.7,1.5
NGC4269,NGC4269,Galaxy,12.33033,6.0150,13.4,1.2
NGC4270,NGC4270,Galaxy,12.33041,5.4634,12.2,1.9
NGC4271,NGC4271,Galaxy,12.32572,56.7366,13.6,1.8
NGC4272,NGC4272,Galaxy,12.32990,30.3391,14.0,1.0
NGC4273,NGC4273,Galaxy,12.33224,5.3433,11.8,2.2
NGC4274,NGC4274,Galaxy,12.33072,29.6145,10.4,3.6
NGC4275,NGC4275,Galaxy,12.33127,27.6210,13.4,0.9
NGC4276,NGC4276,Galaxy,12.33541,7.6919,13.6,1.3
NGC4277,NGC4277,Galaxy,12.33437,5.3414,13.5,0.8
NGC4278,NGC4278,Galaxy,12.33523,29.2807,10.2,2.9
NGC4279,NGC4279,Galaxy,12.34028,-11.6666,15.1,1.2
NGC4280,NGC4280,Other,12.34219,-11.6524,,
NGC4281,NGC4281,Galaxy,12.33931,5.3864,11.3,2.9
NGC4282,NGC4282,Galaxy,12.34009,5.5728,14.6,0.9
NGC4283,NGC4283,Galaxy,12.33913,29.3109,12.3,1.2
NGC4284,NGC4284,Galaxy,12.33684,58.0929,14.5,1.9
NGC4285,NGC4285,Galaxy,12.34439,-11.6419,15.0,0.9
NGC4286,NGC4286,Galaxy,12.34503,29.3459,14.5,1.1
NGC4287,NGC4287,Galaxy,12.34681,5.6399,15.0,1.2
NGC4288,NGC4288,Galaxy,12.34392,46.2917,12.9,1.7
NGC4288A,NGC4288A,Galaxy,12.34460,46.2554,15.7,0.7
NGC4289,NGC4289,Galaxy,12.35062,3.7221,14.3,4.3
NGC4290,NGC4290,Galaxy,12.34654,58.0925,12.8,2.2
NGC4291,NGC4291,Galaxy,12.33839,75.3708,11.4,1.9
NGC4292,NGC4292,Galaxy,12.35457,4.5957,12.2,1.6
NGC4293,NGC4293,Galaxy,12.35358,18.3824,10.2,6.2
NGC4294,NGC4294,Galaxy,12.35495,11.5104,12.1,2.7
NGC4295,NGC4295,Galaxy,12.35272,28.1651,14.9,0.5
NGC4296,NGC4296,Galaxy,12.35789,6.6536,13.7,1.4
NGC4297,NGC4297,Galaxy,12.35761,6.6710,12.9,0.6
NGC4298,NGC4298,Galaxy,12.35910,14.6062,11.3,2.5
NGC4299,NGC4299,Galaxy,12.36126,11.4999,12.5,1.5
NGC4300,NGC4300,Galaxy,12.36152,5.3848,13.4,1.8
NGC4301,NGC4301,Galaxy,12.37423,4.5663,13.1,1.1
NGC4302,NGC4302,Galaxy,12.36180,14.5983,11.5,6.0
NGC4304,NGC4304,Galaxy,12.37020,-33.4845,11.8,2.5
NGC4305,NGC4305,Galaxy,12.36767,12.7409,12.6,2.3
NGC4306,NGC4306,Galaxy,12.36781,12.7875,13.6,1.5
NGC4307,NGC4307,Galaxy,12.36824,9.0436,12.7,3.4
NGC4307A,NGC4307A,Galaxy,12.36870,8.9906,15.0,0.8
NGC4308,NGC4308,Galaxy,12.36579,30.0744,13.2,0.9
NGC4309,NGC4309,Galaxy,12.37011,7.1443,13.6,1.9
NGC4310,NGC4310,Galaxy,12.37397,29.2090,13.4,1.9
NGC4311,NGC4311,Double Star,12.37413,29.1459,,
NGC4312,NGC4312,Galaxy,12.37538,15.5379,11.7,5.0
NGC4313,NGC4313,Galaxy,12.37737,11.8009,12.4,3.8
NGC4314,NGC4314,Galaxy,12.37551,29.8959,10.6,3.7
NGC4315,NGC4315,Star,12.37921,9.3054,,
NGC4316,NGC4316,Galaxy,12.37840,9.3325,13.5,2.5
NGC4317,NGC4317,Other,12.37833,31.0379,,
NGC4318,NGC4318,Galaxy,12.37869,8.1983,14.2,0.7
NGC4319,NGC4319,Galaxy,12.36219,75.3226,12.9,2.5
NGC4320,NGC4320,Galaxy,12.38270,10.5483,14.9,0.9
NGC4322,NGC4322,Star,12.37830,15.9033,13.4,
NGC4323,NGC4323,Galaxy,12.38381,15.9056,13.8,1.2
NGC4324,NGC4324,Galaxy,12.38505,5.2503,11.5,3.0
NGC4325,NGC4325,Galaxy,12.38519,10.6212,13.3,1.2
NGC4326,NGC4326,Galaxy,12.38656,6.0721,14.2,1.1
NGC4327,NGC4327,Star,12.38542,15.7365,16.1,
